id;latitud;longitud;Nombre;Sexo;Injerto (Pie);Silvestre/Cultivado;Caracterización fruto;Semillas para banco;Riego ;Ubicación ;Fecha recolección ;Observaciones;imagen
1;36931114;-1990828;Plomo 1;Macho;No;Cultivado;_;_;Si;36.931114, -1.990828;45566;;id1.jpg
2;36930463;-1991669;Plomo 2;Macho;no;Cultivado;_;_;Si;36.930463, -1.991669;45566;;id1.jpg
3;36930819;-1989421;Plomo 3;Hembra;¿?;Cultivado;Si;Si;Si;36.930819, -1.989421;45566;;id1.jpg
4;37161924;-2076352;Pileta 1;Hembra/Hemafodita;¿?;Actualmente no;¿?;¿?;No;37.161924, -2.076352;45566;No tiene flores;id1.jpg
5;37161635;-2074518;Pileta 2;Hembra/Hemafodita;¿?;Actualmente no;Si;Si;No;37.161635, -2.074518 ;45566;No tiene flores;id1.jpg
6;36858250;-2481333;Belén 1;Hembra;¿?;Actualmente no;No;No;No;"36°51'29.7""N 2°28'52.8""W";45582;Muy poco frutos, cosechado;id1.jpg
7;36858083;-2480861;Belén 2;Macho;No;Actualmente no;_;_;No;"36°51'29.1""N 2°28'51.1""W";45582;;id1.jpg
8;37011917;-2756583;El de Cristóbal;Hembra;Si (macho);Actualmente no;Si;Si;Boca cerca;"37°00'42.9""N 2°45'23.7""W";45582;Le atribuyen 800 años;id1.jpg
9;37016746;-2749151;El de Rafael;Hembra;¿?;Actualmente no;Si;Si;No;37.016746,  -2.749151;45582;;id1.jpg
10;37106139;-2042500;Marchalico 1 ;Hembra;Si (macho);Actualmente no;No;No;No;"37°06'22.1""N 2°02'33.0""W";45582;;id1.jpg
11;37105820;-2043416;Marchalico 1 ;Macho;Si (macho);Actualmente no;_;_;No;"37°06'22.1""N 2°02'33.0""W";45582;;id1.jpg
12;37105732;-2043455;Marchalico 2;Hembra;¿?;Actualmente no;Si;Si;No;37.105820, -2.043416;45582;;id1.jpg
13;37150773;-2084554;Marchalico 3;Hembra;¿?;Actualmente no;Si;Si;No;37.105732, -2.043455;45582;;id1.jpg
14;37151130;-2085525;Los Mañas 1;Hembra;Si (macho);Actualmente no;Si;Si;No;37.150773, -2.084554 ;45582;;id1.jpg
15;37038879;-2200092;Los Mañas 1;Macho;Si (macho);Actualmente no;_;_;No;37.150773, -2.084554 ;45582;;id1.jpg
16;37036750;-2194500;Los Mañas 2;Hembra;Si (macho);Actualmente no;Si;Si;No;37.151130, -2.085525;45582;;id1.jpg
17;37036930;-2194390;Los Mañas 2;Macho;Si (macho);Actualmente no;_;_;No;37.151130, -2.085525;45582;;id1.jpg
18;37072297;-1861735;Lucainena 1;Hembra;No;Silvestre;Si;Si;No;37.038763, -2.200419;45589;Parece más joven, totalmente salvaje;id1.jpg
19;37072006;-1863101;Lucainena 2;Hembra;¿?;Actualmente no;Si;SI;No;37.038879, -2.200092 ;45589;;id1.jpg
20;37071220;-1861675;Lucainena 3;Macho;No;Actualmente no;_;_;No;"37°02'12.3""N 2°11'40.2""W";45589;;id1.jpg
21;37070655;-1865163;Lucainena 4;Hembra;¿? (hembra);Actualmente no;Si;Si;No;37.036930, -2.194390 ;45589;;id1.jpg
22;37071429;-1866478;Enmedio 1 ;Macho;No;Actualmente no;_;_;no;37.072297, -1.861735 ;45589;;id1.jpg
23;37072025;-1866940;Enmedio 2;Hembra;¿? (hembra);Actualmente no;Si;Si;No;37.072006, -1.863101 ;45589;Variedad: De Bédar ;id1.jpg
24;37073493;-1860221;Enmedio 3;Hembra;¿?;Actualmente no;Si;Si;No;37.071220, -1.861675;45589;Un paisano del pueblo no tiene claro si no tiene dos injertos ;id1.jpg
25;36819944;-2652833;Enmedio 4 ;Hembra;Si (macho);Actualmente no;Si;Si;No;37.070655, -1.865163.;45589;Variedad: De Bédar ;id1.jpg
26;36821936;-2653143;Enmedio 5;Hembra;Si (¿?);Actualmente no;Si;Si;No;37.071429, -1.866478 ;45589;Variedad: Valenciana;id1.jpg
27;36849833;-2042278;En medio 6;Hembra;¿? (hembra);Actualmente no;Si;Si;No;37.072025, -1.866940 ;45589;Ejemplar abierto en muchas ramas. Variedad Negra.;id1.jpg
28;36849626;-2042106;MacenasGolf;Hembra;Parece;Actualmente no;Si;Si;No;37.073493, -1.860221 ;45589;;id1.jpg
